Date/Time,Electricity:Facility [J](Monthly) 
January,4935798091.093279 
February,4809065922.802772 
March,5151433421.270792 
April,5506163593.70017 
May,10938557181.447464 
June,12653181795.192168 
July,14760689138.003766 
August,12421287577.679442 
September,11985182939.583115 
October,6653946330.558462 
November,4883244445.159053 
December,5013003347.949883 
