Date/Time,Electricity:Facility [J](Monthly) 
January,8064477174.448841 
February,8381952639.723192 
March,8789513491.03087 
April,9949114878.941233 
May,23362973793.26361 
June,26028278474.899606 
July,30665314964.72301 
August,25922095740.66625 
September,24417423154.85808 
October,12718222448.097527 
November,8037071068.032921 
December,8231348851.0231699 
