Date/Time,Electricity:Facility [J](Monthly) 
January,18555285411.630746 
February,19553790056.243009 
March,20477742099.780267 
April,23566881101.669336 
May,58833372568.759609 
June,66452647965.69457 
July,78401553106.63404 
August,65406962883.9717 
September,61124735837.923297 
October,30239276791.314416 
November,18585883140.910558 
December,19034979629.438478 
