Date/Time,Electricity:Facility [J](Monthly) 
January,4270968926.8343546 
February,4330411609.460214 
March,4575317230.619062 
April,5054361712.615965 
May,10744385735.207077 
June,11772541580.805584 
July,13764500383.48058 
August,11839663500.602618 
September,11264008053.309008 
October,6349850558.3819689 
November,4220527472.8376247 
December,4333981525.979166 
