Date/Time,THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 2:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 3:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 4:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 5:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 6:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 7:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 8:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 2:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 2:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 3:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 3:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 4:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 4:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 5:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 5:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 6:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 6:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 7:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 7:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 8:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 8:Zone Air System Sensible Cooling Energy [J](Hourly),Electricity:Facility [J](Monthly) 
 01/01  01:00:00,5.800403775812747,13.73579141882564,12.924335874239678,17.527299846601115,21.72628475353082,20.522186324590739,17.628696374698323,13.041073015691108,48321917.82635935,0.0,0.0,307402.04470008556,0.0,191857.93914028019,5253626.959237469,0.0,11433795.025766343,0.0,10793323.285817188,0.0,4905974.0366276609,0.0,1361.55345484021,102752.00713236447 
 01/01  02:00:00,5.766117648502039,13.539610248355637,12.826231729346059,17.969914748196055,21.85688027758963,20.777338323844857,18.0027371459755,12.896673772743846,51136159.316998098,0.0,0.0,203285.49197970297,0.0,82365.9710469774,6088667.546310866,0.0,13806837.87107312,0.0,12844130.698611536,0.0,5702896.551097199,0.0,0.0,45868.89619920726 
 01/01  03:00:00,5.751841161279793,13.093945907810645,12.087951603573835,17.99877029989438,21.469578038766998,20.545212508059217,18.06380655770871,12.676920210193045,49809105.523545179,0.0,0.0,152705.79075185245,56518.92275966893,0.0,4338790.514102945,0.0,9440526.696190095,0.0,8876327.214232006,0.0,4055490.9001306539,0.0,0.0,42058.22103693447 
 01/01  04:00:00,5.748511655306562,12.855943298307356,11.62770666276825,17.999966473694675,21.111178303840185,20.279639730917457,18.069824525705309,12.517627194998714,43626912.9697333,0.0,0.0,265742.3299659642,0.0,33196.9947440552,3506144.8221700356,0.0,7454751.1130598769,0.0,7060582.306944566,0.0,3273720.7456475945,0.0,0.0,117903.6690455965 
 01/01  05:00:00,5.746544840998691,12.027957694769299,10.325276662072695,18.000077485623934,20.914245409956434,20.16636267779493,18.11305873484403,12.009519256992,18803580.861333539,0.0,0.0,743082.030789572,0.0,528821.6598454984,3128723.388845363,0.0,6573872.916064697,0.0,6233661.249657773,0.0,2911084.4593971294,0.0,0.0,436757.879381734 
 01/01  06:00:00,5.745725630031292,12.092082831680314,10.47524829694683,18.00014782306246,20.79760404665163,20.105321650259876,18.141542039567797,12.02239628722913,30032460.10792643,0.0,0.0,466618.438931351,0.0,194305.62651677346,2932142.296637343,0.0,6123085.833232498,0.0,5804018.130228212,0.0,2721000.6295860467,0.0,0.0,267571.7608768333 
 01/01  07:00:00,5.7452111798896869,13.631980650210333,12.56579138296542,18.00011414519993,20.773433169728326,20.11722287607812,18.165997449993389,13.005103040006262,83860907.40911635,0.0,618426.8515732801,0.0,1064967.6983266108,0.0,2841940.3461573116,0.0,5899540.650242473,0.0,5586658.275263138,0.0,2631467.8052369926,0.0,437596.8579453549,0.0 
 01/01  08:00:00,5.745558330829802,13.317343954161732,11.846810470742263,18.00025447590714,20.78928648383377,20.158390970901807,18.180439398517465,12.861369500416725,66124277.63954997,0.0,223491.47746820068,0.0,657866.1814881621,0.0,2800631.481421376,0.0,5782006.137933392,0.0,5469166.030690136,0.0,2589839.3714741745,0.0,184605.1720692296,0.0 
 01/01  09:00:00,5.745532133442676,13.344141276852774,11.806072765657167,14.997226312399516,15.341786692551175,15.104012336538157,15.330365034781798,12.874812727597366,61115635.76841676,0.0,89511.43976345555,0.0,502172.7730214125,0.0,0.0,390389.8033374967,0.0,1221993.1326812644,0.0,968345.2599912747,0.0,433486.35943198346,106996.06459560212,0.0 
 01/01  10:00:00,5.745654520847914,14.247198924242288,12.971483250404326,14.00807098108495,13.278722398089047,13.146639023058265,14.328511368743439,13.494605016180782,91848494.15074015,0.0,704101.3334927202,0.0,1227997.7624927469,0.0,0.0,554644.9578343399,0.0,1044722.5957227176,0.0,863859.7308148823,0.0,584942.7512935926,502678.06235556976,0.0 
 01/01  11:00:00,5.74568426013163,13.718142168495178,12.062936303350883,13.12174877271519,12.210944505283479,12.105641772388044,13.445305252870237,13.185409609520298,65810146.37008596,0.0,137211.51627082018,0.0,593093.7808099645,0.0,0.0,519343.92495724596,0.0,848989.2324301712,0.0,703044.0136267467,0.0,552465.9265776855,142473.79315088909,0.0 
