Time,THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Load [W],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN HTG WIND 99.6% CONDNS WS=>MCDB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 3:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 4:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 5:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 6:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 7:ATLANTA HARTSFIELD INTL AP ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 8::Des Heat Load [W],THERMAL ZONE 8::Des Sens Cool Load [W],THERMAL ZONE 8::Des Heat Mass Flow [kg/s],THERMAL ZONE 8::Des Cool Mass Flow [kg/s]
01:00:00,9.257748E+04,0.000000E+00,1.756887E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.390281E+03,6.365954E+02,5.612257E-02,6.140976E-02,2.799363E+03,1.225420E+03,6.585210E-02,1.200895E-01,2.813321E+03,1.049319E+03,6.618514E-02,1.010366E-01,2.257276E+03,5.965444E+02,5.295775E-02,5.803574E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,9.340467E+04,0.000000E+00,1.760861E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.203829E+03,4.922648E+02,5.271583E-02,5.536984E-02,2.683842E+03,1.286235E+03,6.419643E-02,1.435765E-01,2.692425E+03,1.189555E+03,6.440167E-02,1.328672E-01,2.057485E+03,4.531103E+02,4.921636E-02,5.102680E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,9.390824E+04,0.000000E+00,1.770169E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.806601E+03,2.929695E+02,4.321169E-02,3.299931E-02,2.253327E+03,9.477711E+02,5.389682E-02,1.065963E-01,2.252642E+03,8.634964E+02,5.388044E-02,9.713199E-02,1.657499E+03,2.657641E+02,3.964536E-02,2.994358E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,9.407755E+04,0.000000E+00,1.773350E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.651197E+03,1.482169E+02,3.949459E-02,1.669235E-02,2.079553E+03,7.055974E+02,4.974034E-02,7.945535E-02,2.069294E+03,6.287710E+02,4.949496E-02,7.080582E-02,1.500597E+03,1.288000E+02,3.589242E-02,1.450610E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,9.416506E+04,0.000000E+00,1.774996E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.574683E+03,7.333599E+01,3.766447E-02,8.259020E-03,1.990325E+03,5.632958E+02,4.760611E-02,6.343599E-02,1.969418E+03,4.916171E+02,4.710604E-02,5.536421E-02,1.423026E+03,5.798317E+01,3.403702E-02,6.530086E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,9.421786E+04,0.000000E+00,1.775988E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.532475E+03,2.679081E+01,3.665490E-02,3.017079E-03,1.937793E+03,4.600013E+02,4.634962E-02,5.180407E-02,1.906285E+03,3.912857E+02,4.559598E-02,4.406573E-02,1.380120E+03,1.313442E+01,3.301075E-02,1.479142E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,9.425038E+04,0.000000E+00,1.776601E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,4.646460E+00,0.000000E+00,8.771568E-05,0.000000E+00,1.507327E+03,1.179797E+02,3.605339E-02,1.328652E-02,1.903697E+03,4.538308E+02,4.553409E-02,5.110975E-02,1.862216E+03,3.493286E+02,4.454191E-02,3.934069E-02,1.354285E+03,9.014671E+01,3.239284E-02,1.015199E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
08:00:00,9.427361E+04,0.000000E+00,1.777035E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,5.039541E+01,0.000000E+00,9.504075E-04,0.000000E+00,1.491166E+03,1.191314E+02,3.566686E-02,1.341662E-02,1.880036E+03,4.559198E+02,4.496813E-02,5.134629E-02,1.829409E+03,3.859674E+02,4.375720E-02,4.346688E-02,1.337666E+03,8.162361E+01,3.199532E-02,9.192348E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
09:00:00,9.429031E+04,9.908687E+03,1.777349E+00,7.067353E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,7.785596E+01,0.000000E+00,1.468269E-03,0.000000E+00,1.480263E+03,1.395442E+02,3.540605E-02,1.571602E-02,1.862639E+03,5.299972E+02,4.455204E-02,5.969041E-02,1.804045E+03,4.886054E+02,4.315051E-02,5.502578E-02,1.326414E+03,9.031939E+01,3.172618E-02,1.017186E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
10:00:00,9.430261E+04,2.462037E+04,1.777581E+00,1.726206E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.838682E+01,0.000000E+00,1.855445E-03,0.000000E+00,1.472599E+03,1.888059E+02,3.522275E-02,2.126563E-02,1.849396E+03,6.647224E+02,4.423527E-02,7.486554E-02,1.783811E+03,6.263047E+02,4.266654E-02,7.053320E-02,1.318462E+03,1.270631E+02,3.153598E-02,1.431074E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
