Date/Time,THERMAL ZONE 1:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 2:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 3:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 4:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 5:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 6:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 7:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 8:Zone Mean Air Temperature [C](Hourly),THERMAL ZONE 1:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 1:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 2:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 2:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 3:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 3:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 4:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 4:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 5:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 5:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 6:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 6:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 7:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 7:Zone Air System Sensible Cooling Energy [J](Hourly),THERMAL ZONE 8:Zone Air System Sensible Heating Energy [J](Hourly),THERMAL ZONE 8:Zone Air System Sensible Cooling Energy [J](Hourly),Electricity:Facility [J](Monthly) 
 01/01  01:00:00,6.2816782674837718,13.290141974726345,13.296354832749199,17.345551652669813,21.92597754845384,20.979617526167208,17.90241883942226,12.47274839901448,113930495.21290535,0.0,83652.10900203245,14734.526055789822,114633.07824658347,23237.225361877016,7178569.296821396,0.0,14023758.390054176,0.0,13441795.013389109,0.0,6608126.735713365,0.0,119929.55174111664,0.0 
 01/01  02:00:00,6.242540874986887,13.08047699297535,13.165116480792412,17.972304010137955,22.098885783011565,21.2742993982272,18.25092634642322,12.34735009317039,118849998.67396896,0.0,219120.7755542561,0.0,263081.13394347127,0.0,8621331.772826909,0.0,17661919.365372968,0.0,16726980.405556366,0.0,8029966.305928979,0.0,166092.24520704436,0.0 
 01/01  03:00:00,6.230212018715207,12.639425363143197,12.438855896953005,17.99884157712104,21.669038238706294,20.999107921009715,18.343689290742135,12.167778423002418,114454173.58417347,0.0,266457.6808204852,0.0,448230.53337325269,0.0,5969422.441888163,0.0,11743352.310199146,0.0,11188490.050203823,0.0,5523653.987525875,0.0,153563.0909901451,0.0 
 01/01  04:00:00,6.227705409663361,12.36932503571698,11.896108986220309,18.000044425164057,21.297348913868196,20.69649395178075,18.324893667152027,12.038412535302579,100151663.16913197,0.0,67906.03931384253,0.0,292767.4910310012,0.0,4909308.767524539,0.0,9491447.88161846,0.0,9075644.942960149,0.0,4532800.592736881,0.0,63452.069137050625,0.0 
 01/01  05:00:00,6.225981181251788,11.252885469218441,10.192024124688193,18.00011568062811,21.12867449465162,20.622272240253687,18.400277406494668,11.556705750024369,45429310.398888688,0.0,0.0,663959.4707853115,0.0,456858.7622595057,4485280.072030331,0.0,8602332.757014662,0.0,8204514.194005957,0.0,4116490.6623920819,0.0,0.0,282110.5250341372 
 01/01  06:00:00,6.225711228966778,11.50667108657948,10.650979875383081,18.00024250658813,21.041530861115349,20.584270467506465,18.430352194007555,11.65941942169292,69716929.76622471,0.0,0.0,264252.0543898211,1453.6456016071953,0.0,4255622.44344318,0.0,8118356.443417012,0.0,7731569.889146408,0.0,3893615.6607000788,0.0,0.0,115951.90595614753 
 01/01  07:00:00,6.224821274119115,13.67424495677768,13.448404074653283,18.000132782761115,21.044657485801787,20.630232561228924,18.473631438853283,12.66502555018012,186749450.68399019,0.0,1369314.5580296652,0.0,1962815.9764349564,0.0,4171706.4389765236,0.0,7920536.349024637,0.0,7525752.191677714,0.0,3804409.276533996,0.0,625967.0788817987,0.0 
 01/01  08:00:00,6.225000168818987,12.979331778522474,12.482435591738945,18.00029600124296,21.08384817559217,20.697905833822739,18.493405213647678,12.43985861939161,147893356.3271002,0.0,819522.8525045042,0.0,1327635.3706478715,0.0,4138067.36295369,0.0,7818778.76072868,0.0,7416334.016584151,0.0,3768116.38805327,0.0,367190.3379189309,0.0 
 01/01  09:00:00,6.225026995016918,13.049863612628446,12.404201715954624,13.984314424092208,14.429232554446882,14.382636274732317,14.683165613162512,12.479702499146518,136856552.7435416,0.0,580457.8159829342,0.0,1064476.7395062417,0.0,6546.7497850071599,432737.87735350706,0.0,1260012.4239432244,0.0,1135375.3016604942,0.0,567990.1316502148,281750.8534842139,0.0 
 01/01  10:00:00,6.225152999395059,14.182194431888793,14.059908280845349,12.75294303492549,12.041059122588825,12.075425208139386,13.384662506555938,13.055034867136252,203748514.181341,0.0,1546801.541712954,0.0,2161230.786707564,0.0,0.0,617902.2595964631,0.0,1017627.2802177034,0.0,956538.6102176554,0.0,731913.6453735852,705544.4793232981,0.0 
 01/01  11:00:00,6.225177078931538,13.434504934723887,12.75539345928531,11.598370864394445,10.753006374441397,10.777162262761348,12.257140559958275,12.765958028520427,147317856.34333966,0.0,667055.626370542,0.0,1196777.2300623237,0.0,0.0,562234.0497174404,0.0,808132.8580031192,0.0,757900.141119899,0.0,686107.3129389044,325290.05259343018,0.0 
